,acoustic_data,time_to_failure
316170015,8,5.74
316170016,0,5.74
316170017,-2,5.74
316170018,-1,5.74
316170019,4,5.74
316170020,3,5.74
316170021,8,5.74
316170022,4,5.74
316170023,6,5.74
316170024,7,5.74
316170025,5,5.74
316170026,3,5.74
316170027,4,5.74
316170028,2,5.74
316170029,6,5.74
316170030,5,5.74
316170031,4,5.74
316170032,8,5.74
316170033,8,5.74
316170034,6,5.74
316170035,4,5.74
316170036,4,5.74
316170037,4,5.74
316170038,1,5.74
316170039,2,5.74
316170040,6,5.74
316170041,7,5.74
316170042,7,5.74
316170043,4,5.74
316170044,8,5.74
316170045,8,5.74
316170046,7,5.74
316170047,3,5.74
316170048,4,5.74
316170049,3,5.74
316170050,5,5.74
316170051,6,5.74
316170052,5,5.74
316170053,6,5.74
316170054,7,5.74
316170055,6,5.74
316170056,6,5.74
316170057,2,5.74
316170058,5,5.74
316170059,0,5.74
316170060,1,5.74
316170061,7,5.74
316170062,4,5.74
316170063,1,5.74
316170064,-1,5.74
316170065,7,5.74
316170066,9,5.74
316170067,1,5.74
316170068,5,5.74
316170069,-1,5.74
316170070,4,5.74
316170071,4,5.74
316170072,5,5.74
316170073,1,5.74
316170074,2,5.74
316170075,3,5.74
316170076,-1,5.74
316170077,2,5.74
316170078,6,5.74
316170079,2,5.74
316170080,4,5.74
316170081,5,5.74
316170082,2,5.74
316170083,4,5.74
316170084,5,5.74
316170085,4,5.74
316170086,8,5.74
316170087,6,5.74
316170088,1,5.74
316170089,0,5.74
316170090,1,5.74
316170091,4,5.74
316170092,1,5.74
316170093,3,5.74
316170094,0,5.74
316170095,4,5.74
316170096,5,5.74
316170097,9,5.74
316170098,2,5.74
316170099,1,5.74
316170100,-4,5.74
316170101,0,5.74
316170102,1,5.74
316170103,7,5.74
316170104,7,5.74
316170105,3,5.74
316170106,6,5.74
316170107,5,5.74
316170108,6,5.74
316170109,8,5.74
316170110,7,5.74
316170111,10,5.74
316170112,7,5.74
316170113,5,5.74
316170114,-2,5.74
316170115,1,5.74
316170116,4,5.74
316170117,3,5.74
316170118,5,5.74
316170119,4,5.74
316170120,4,5.74
316170121,7,5.74
316170122,2,5.74
316170123,2,5.74
316170124,4,5.74
316170125,1,5.74
316170126,4,5.74
316170127,3,5.74
316170128,5,5.74
316170129,6,5.74
316170130,3,5.74
316170131,2,5.74
316170132,9,5.74
316170133,6,5.74
316170134,1,5.74
316170135,0,5.74
316170136,5,5.74
316170137,6,5.74
316170138,4,5.74
316170139,2,5.74
316170140,3,5.74
316170141,7,5.74
316170142,3,5.74
316170143,6,5.74
316170144,3,5.74
316170145,6,5.74
316170146,-1,5.74
316170147,4,5.74
316170148,10,5.74
316170149,-1,5.74
316170150,2,5.74
316170151,4,5.74
316170152,5,5.74
316170153,2,5.74
316170154,6,5.74
316170155,4,5.74
316170156,1,5.74
316170157,5,5.74
316170158,2,5.74
316170159,-2,5.74
316170160,-1,5.74
316170161,2,5.74
316170162,6,5.74
316170163,2,5.74
316170164,1,5.74
316170165,2,5.74
316170166,11,5.74
316170167,7,5.74
316170168,4,5.74
316170169,1,5.74
316170170,3,5.74
316170171,10,5.74
316170172,7,5.74
316170173,8,5.74
316170174,5,5.74
316170175,3,5.74
316170176,1,5.74
316170177,4,5.74
316170178,4,5.74
316170179,3,5.74
316170180,3,5.74
316170181,4,5.74
316170182,4,5.74
316170183,5,5.74
316170184,3,5.74
316170185,4,5.74
316170186,3,5.74
316170187,4,5.74
316170188,7,5.74
316170189,9,5.74
316170190,9,5.74
316170191,7,5.74
316170192,4,5.74
316170193,1,5.74
316170194,4,5.74
316170195,7,5.74
316170196,7,5.74
316170197,6,5.74
316170198,2,5.74
316170199,4,5.74
316170200,8,5.74
316170201,7,5.74
316170202,2,5.74
316170203,4,5.74
316170204,3,5.74
316170205,2,5.74
316170206,8,5.74
316170207,11,5.74
316170208,15,5.74
316170209,8,5.74
316170210,5,5.74
316170211,4,5.74
316170212,2,5.74
316170213,4,5.74
316170214,4,5.74
316170215,0,5.74
316170216,0,5.74
316170217,2,5.74
316170218,3,5.74
316170219,7,5.74
316170220,6,5.74
316170221,6,5.74
316170222,5,5.74
316170223,8,5.74
316170224,3,5.74
316170225,-3,5.74
316170226,1,5.74
316170227,7,5.74
316170228,5,5.74
316170229,7,5.74
316170230,5,5.74
316170231,8,5.74
316170232,8,5.74
316170233,4,5.74
316170234,2,5.74
316170235,2,5.74
316170236,4,5.74
316170237,6,5.74
316170238,1,5.74
316170239,3,5.74
316170240,4,5.74
316170241,1,5.74
316170242,3,5.74
316170243,7,5.74
316170244,4,5.74
316170245,7,5.74
316170246,4,5.74
316170247,2,5.74
316170248,4,5.74
316170249,4,5.74
316170250,6,5.74
316170251,3,5.74
316170252,7,5.74
316170253,7,5.74
316170254,5,5.74
316170255,5,5.74
316170256,4,5.74
316170257,8,5.74
316170258,5,5.74
316170259,0,5.74
316170260,10,5.74
316170261,6,5.74
316170262,-1,5.74
316170263,5,5.74
316170264,4,5.74
316170265,1,5.74
316170266,3,5.74
316170267,5,5.74
316170268,7,5.74
316170269,3,5.74
316170270,6,5.74
316170271,7,5.74
316170272,3,5.74
316170273,0,5.74
316170274,0,5.74
316170275,3,5.74
316170276,8,5.74
316170277,4,5.74
316170278,1,5.74
316170279,2,5.74
316170280,4,5.74
316170281,0,5.74
316170282,4,5.74
316170283,6,5.74
316170284,8,5.74
316170285,0,5.74
316170286,3,5.74
316170287,7,5.74
316170288,5,5.74
316170289,8,5.74
316170290,4,5.74
316170291,7,5.74
316170292,3,5.74
316170293,-1,5.74
316170294,5,5.74
316170295,2,5.74
316170296,6,5.74
316170297,2,5.74
316170298,3,5.74
316170299,6,5.74
316170300,6,5.74
316170301,6,5.74
316170302,6,5.74
316170303,2,5.74
316170304,4,5.74
316170305,4,5.74
316170306,1,5.74
316170307,2,5.74
316170308,7,5.74
316170309,5,5.74
316170310,3,5.74
316170311,3,5.74
316170312,7,5.74
316170313,6,5.74
316170314,6,5.74
316170315,5,5.74
316170316,7,5.74
316170317,7,5.74
316170318,8,5.74
316170319,7,5.74
316170320,3,5.74
316170321,6,5.74
316170322,2,5.74
316170323,0,5.74
316170324,1,5.74
316170325,8,5.74
316170326,10,5.74
316170327,7,5.74
316170328,7,5.74
316170329,2,5.74
316170330,4,5.74
316170331,9,5.74
316170332,4,5.74
316170333,3,5.74
316170334,8,5.74
316170335,8,5.74
316170336,1,5.74
316170337,2,5.74
316170338,7,5.74
316170339,6,5.74
316170340,6,5.74
316170341,7,5.74
316170342,6,5.74
316170343,0,5.74
316170344,0,5.74
316170345,3,5.74
316170346,6,5.74
316170347,1,5.74
316170348,2,5.74
316170349,4,5.74
316170350,10,5.74
316170351,4,5.74
316170352,0,5.74
316170353,3,5.74
316170354,6,5.74
316170355,4,5.74
316170356,5,5.74
316170357,8,5.74
316170358,4,5.74
316170359,1,5.74
316170360,2,5.74
316170361,1,5.74
316170362,2,5.74
316170363,2,5.74
316170364,4,5.74
316170365,3,5.74
316170366,4,5.74
316170367,5,5.74
316170368,4,5.74
316170369,0,5.74
316170370,-2,5.74
316170371,2,5.74
316170372,3,5.74
316170373,3,5.74
316170374,8,5.74
316170375,10,5.74
316170376,7,5.74
316170377,6,5.74
316170378,7,5.74
316170379,6,5.74
316170380,7,5.74
316170381,3,5.74
316170382,4,5.74
316170383,2,5.74
316170384,2,5.74
316170385,-1,5.74
316170386,1,5.74
316170387,3,5.74
316170388,6,5.74
316170389,3,5.74
316170390,8,5.74
316170391,3,5.74
316170392,7,5.74
316170393,7,5.74
316170394,5,5.74
316170395,6,5.74
316170396,3,5.74
316170397,5,5.74
316170398,6,5.74
316170399,2,5.74
316170400,0,5.74
316170401,-2,5.74
316170402,4,5.74
316170403,7,5.74
316170404,2,5.74
316170405,2,5.74
316170406,4,5.74
316170407,2,5.74
316170408,1,5.74
316170409,1,5.74
316170410,1,5.74
316170411,5,5.74
316170412,6,5.74
316170413,10,5.74
316170414,6,5.74
316170415,5,5.74
316170416,4,5.74
316170417,3,5.74
316170418,8,5.74
316170419,6,5.74
316170420,6,5.74
316170421,-1,5.74
316170422,-1,5.74
316170423,6,5.74
316170424,6,5.74
316170425,7,5.74
316170426,5,5.74
316170427,6,5.74
316170428,5,5.74
316170429,2,5.74
316170430,4,5.74
316170431,2,5.74
316170432,5,5.74
316170433,5,5.74
316170434,8,5.74
316170435,7,5.74
316170436,3,5.74
316170437,4,5.74
316170438,4,5.74
316170439,2,5.74
316170440,-2,5.74
316170441,2,5.74
316170442,5,5.74
316170443,3,5.74
316170444,5,5.74
316170445,7,5.74
316170446,4,5.74
316170447,8,5.74
316170448,11,5.74
316170449,7,5.74
316170450,5,5.74
316170451,4,5.74
316170452,2,5.74
316170453,6,5.74
316170454,3,5.74
316170455,7,5.74
316170456,2,5.74
316170457,4,5.74
316170458,5,5.74
316170459,7,5.74
316170460,5,5.74
316170461,7,5.74
316170462,4,5.74
316170463,4,5.74
316170464,0,5.74
316170465,2,5.74
316170466,4,5.74
316170467,4,5.74
316170468,4,5.74
316170469,4,5.74
316170470,7,5.74
316170471,3,5.74
316170472,10,5.74
316170473,8,5.74
316170474,1,5.74
316170475,1,5.74
316170476,7,5.74
316170477,8,5.74
316170478,9,5.74
316170479,8,5.74
316170480,3,5.74
316170481,5,5.74
316170482,8,5.74
316170483,6,5.74
316170484,5,5.74
316170485,4,5.74
316170486,4,5.74
316170487,5,5.74
316170488,2,5.74
316170489,2,5.74
316170490,6,5.74
316170491,2,5.74
316170492,3,5.74
316170493,3,5.74
316170494,3,5.74
316170495,9,5.74
316170496,9,5.74
316170497,6,5.74
316170498,6,5.74
316170499,6,5.74
316170500,8,5.74
316170501,2,5.74
316170502,8,5.74
316170503,0,5.74
316170504,1,5.74
316170505,3,5.74
316170506,6,5.74
316170507,7,5.74
316170508,3,5.74
316170509,2,5.74
316170510,6,5.74
316170511,3,5.74
316170512,4,5.74
316170513,3,5.74
316170514,3,5.74
316170515,7,5.74
316170516,0,5.74
316170517,6,5.74
316170518,2,5.74
316170519,4,5.74
316170520,10,5.74
316170521,8,5.74
316170522,6,5.74
316170523,5,5.74
316170524,4,5.74
316170525,5,5.74
316170526,7,5.74
316170527,7,5.74
316170528,7,5.74
316170529,6,5.74
316170530,5,5.74
316170531,7,5.74
316170532,1,5.74
316170533,8,5.74
316170534,8,5.74
316170535,2,5.74
316170536,1,5.74
316170537,4,5.74
316170538,8,5.74
316170539,4,5.74
316170540,5,5.74
316170541,6,5.74
316170542,4,5.74
316170543,3,5.74
316170544,2,5.74
316170545,7,5.74
316170546,6,5.74
316170547,4,5.74
316170548,1,5.74
316170549,6,5.74
316170550,5,5.74
316170551,4,5.74
316170552,6,5.74
316170553,5,5.74
316170554,4,5.74
316170555,6,5.74
316170556,5,5.74
316170557,4,5.74
316170558,4,5.74
316170559,0,5.74
316170560,4,5.74
316170561,4,5.74
316170562,6,5.74
316170563,7,5.74
316170564,8,5.74
316170565,4,5.74
316170566,9,5.74
316170567,6,5.74
316170568,5,5.74
316170569,6,5.74
316170570,9,5.74
316170571,7,5.74
316170572,2,5.74
316170573,3,5.74
316170574,3,5.74
316170575,2,5.74
316170576,1,5.74
316170577,7,5.74
316170578,5,5.74
316170579,-1,5.74
316170580,2,5.74
316170581,4,5.74
316170582,6,5.74
316170583,5,5.74
316170584,3,5.74
316170585,0,5.74
316170586,3,5.74
316170587,3,5.74
316170588,10,5.74
316170589,10,5.74
316170590,3,5.74
316170591,9,5.74
316170592,9,5.74
316170593,7,5.74
316170594,7,5.74
316170595,5,5.74
316170596,2,5.74
316170597,4,5.74
316170598,2,5.74
316170599,8,5.74
316170600,2,5.74
316170601,2,5.74
316170602,4,5.74
316170603,6,5.74
316170604,4,5.74
316170605,5,5.74
316170606,3,5.74
316170607,7,5.74
316170608,5,5.74
316170609,8,5.74
316170610,9,5.74
316170611,5,5.74
