seg_id,time_to_failure
seg_00030f,1452.857129140327
seg_0012b5,1919.1302983654518
seg_00184e,3127.740118925308
seg_003339,1072.20341309664
seg_0042cc,2233.917138966379
seg_004314,8460.513002436795
seg_004cd2,1579.1758247819744
seg_004ee5,1516.0825698512176
seg_004f1f,1491.1944399770794
seg_00648a,3543.209343628634
seg_006e4a,1150.8149930295385
seg_007a37,1390.4557022449221
seg_00a37e,2048.2919446059877
seg_00be11,1856.2160868693973
seg_00c35b,1843.4420985910824
seg_00cc91,2791.154219377996
seg_00e5f7,1113.3974405366089
seg_00f3b9,2111.534202491871
seg_010eab,1113.1778494253324
seg_0125d9,1641.950129248099
seg_0144cb,1843.5581844759681
seg_0165c6,2976.693776205624
seg_016913,2501.579541922256
seg_016cdb,1607.6162741794483
seg_017314,1113.2063065683983
seg_01a8dc,4022.0149788083554
seg_01c775,798.7605519055871
seg_01ecb0,1620.414507459471
seg_02042f,2082.6311556266974
seg_025e78,2360.1163274321834
seg_032822,3042.88120327865
seg_0339ca,1377.6242865996207
seg_037461,1997.9738232434277
seg_038879,748.4017120371243
seg_03d386,3080.590339094457
seg_03d63e,1683.143238144371
seg_03d680,1390.3250373217204
seg_03f380,1494.6299410814129
seg_0445d7,2523.3837331169316
seg_046c28,2926.4376808623847
seg_0488a1,1365.3725496755433
seg_049957,685.1861896646699
seg_04a696,1453.0972366299413
seg_04ae38,1428.0537669510036
seg_04b87a,987.3048634339799
seg_04cceb,2850.5268201617737
seg_04ee93,2007.2767274915311
seg_04fd93,864.5961289286145
seg_0536c9,2536.380751806255
seg_055127,1541.4866487108081
seg_05a1b0,2385.0762276228033
seg_05a4ad,1289.5269736783432
seg_05b66a,873.9511275353887
seg_05bef4,1176.1255755295197
seg_05e0d7,1793.1249647547227
seg_05f126,1062.60513128469
seg_05f9d6,1982.3482741055725
seg_060ce4,1755.5866588128692
seg_061a33,1415.6666839283405
seg_0620e6,1314.7935685861773
seg_063865,2875.9676442480695
seg_065588,1591.7906926973076
seg_06893f,1994.8286191606906
seg_06b8c9,1503.8819150188683
