,acoustic_data,time_to_failure
423220015,6,10.02
423220016,4,10.02
423220017,1,10.02
423220018,-1,10.02
423220019,7,10.02
423220020,6,10.02
423220021,3,10.02
423220022,2,10.02
423220023,5,10.02
423220024,5,10.02
423220025,-1,10.02
423220026,-1,10.02
423220027,6,10.02
423220028,4,10.02
423220029,2,10.02
423220030,4,10.02
423220031,10,10.02
423220032,4,10.02
423220033,3,10.02
423220034,3,10.02
423220035,8,10.02
423220036,10,10.02
423220037,8,10.02
423220038,4,10.02
423220039,4,10.02
423220040,3,10.02
423220041,7,10.02
423220042,8,10.02
423220043,1,10.02
423220044,3,10.02
423220045,6,10.02
423220046,4,10.02
423220047,5,10.02
423220048,3,10.02
423220049,3,10.02
423220050,2,10.02
423220051,6,10.02
423220052,7,10.02
423220053,6,10.02
423220054,5,10.02
423220055,8,10.02
423220056,7,10.02
423220057,10,10.02
423220058,9,10.02
423220059,7,10.02
423220060,10,10.02
423220061,6,10.02
423220062,4,10.02
423220063,5,10.02
423220064,8,10.02
423220065,3,10.02
423220066,6,10.02
423220067,8,10.02
423220068,7,10.02
423220069,4,10.02
423220070,6,10.02
423220071,1,10.02
423220072,2,10.02
423220073,0,10.02
423220074,3,10.02
423220075,3,10.02
423220076,4,10.02
423220077,5,10.02
423220078,6,10.02
423220079,11,10.02
423220080,9,10.02
423220081,7,10.02
423220082,4,10.02
423220083,4,10.02
423220084,6,10.02
423220085,8,10.02
423220086,5,10.02
423220087,5,10.02
423220088,6,10.02
423220089,2,10.02
423220090,3,10.02
423220091,8,10.02
423220092,9,10.02
423220093,3,10.02
423220094,1,10.02
423220095,3,10.02
423220096,-3,10.02
423220097,1,10.02
423220098,4,10.02
423220099,1,10.02
423220100,2,10.02
423220101,6,10.02
423220102,5,10.02
423220103,5,10.02
423220104,4,10.02
423220105,6,10.02
423220106,8,10.02
423220107,-1,10.02
423220108,3,10.02
423220109,1,10.02
423220110,3,10.02
423220111,5,10.02
423220112,2,10.02
423220113,6,10.02
423220114,7,10.02
423220115,6,10.02
423220116,2,10.02
423220117,4,10.02
423220118,3,10.02
423220119,7,10.02
423220120,6,10.02
423220121,3,10.02
423220122,1,10.02
423220123,2,10.02
423220124,6,10.02
423220125,5,10.02
423220126,3,10.02
423220127,3,10.02
423220128,7,10.02
423220129,3,10.02
423220130,5,10.02
423220131,11,10.02
423220132,10,10.02
423220133,3,10.02
423220134,6,10.02
423220135,7,10.02
423220136,2,10.02
423220137,-1,10.02
423220138,2,10.02
423220139,4,10.02
423220140,6,10.02
423220141,8,10.02
423220142,5,10.02
423220143,6,10.02
423220144,4,10.02
423220145,3,10.02
