meanAudio,medianAudio,modeAudio,stdAudio,maxAudio,maxTime,minAudio,minTime,q75Audio,q25Audio,event,n
4.884113311767578,5.0,5.0,5.100437164306641,104.0,1.469099998474121,-98.0,1.4307972192764282,7.0,3.0,0,0.0
4.725766658782959,5.0,5.0,6.587982654571533,181.0,1.4307972192764282,-154.0,1.3914989233016968,7.0,2.0,0,0.0
4.906393527984619,5.0,5.0,6.968670845031738,140.0,1.3914989233016968,-106.0,1.353196144104004,7.0,2.0,0,0.0
4.902239799499512,5.0,5.0,6.921986103057861,197.0,1.353196144104004,-199.0,1.3137978315353394,7.0,2.0,0,0.0
4.908720016479492,5.0,5.0,7.300976276397705,145.0,1.3137978315353394,-126.0,1.2743995189666748,7.0,2.0,0,0.0
4.91351318359375,5.0,5.0,5.43380880355835,142.0,1.2743995189666748,-144.0,1.236096739768982,7.0,3.0,0,0.0
4.8556599617004395,5.0,5.0,5.687618255615234,120.0,1.236096739768982,-78.0,1.1967984437942505,7.0,2.0,0,0.0
4.50542688369751,5.0,5.0,5.854590892791748,139.0,1.1967984437942505,-134.0,1.1584956645965576,7.0,2.0,0,0.0
4.717833518981934,5.0,5.0,7.790531158447266,168.0,1.1584956645965576,-156.0,1.119097352027893,7.0,2.0,0,0.0
4.730959892272949,5.0,5.0,6.889237880706787,152.0,1.119097352027893,-126.0,1.0796990394592285,7.0,2.0,0,0.0
4.582873344421387,5.0,5.0,6.156838417053223,245.0,1.0796990394592285,-115.0,1.0413962602615356,7.0,2.0,0,0.0
4.329933166503906,4.0,4.0,15.252148628234863,410.0,1.0413962602615356,-478.0,1.001997947692871,7.0,2.0,0,0.0
4.4640398025512695,4.0,4.0,8.659740447998047,224.0,1.001997947692871,-169.0,0.9626996517181396,7.0,2.0,0,0.0
4.680813312530518,5.0,5.0,6.032832145690918,139.0,0.9626996517181396,-129.0,0.9243968725204468,7.0,2.0,0,0.0
4.596720218658447,5.0,5.0,5.401970863342285,98.0,0.9243968725204468,-125.0,0.8849985599517822,7.0,2.0,0,0.0
4.5979533195495605,5.0,5.0,6.32835054397583,126.0,0.8849985599517822,-117.0,0.8466957807540894,7.0,2.0,0,0.0
4.513486862182617,5.0,5.0,6.480302810668945,145.0,0.8466957807540894,-162.0,0.8072974681854248,7.0,2.0,0,0.0
4.475240230560303,4.0,4.0,5.998106002807617,101.0,0.8072974681854248,-120.0,0.7679991722106934,7.0,2.0,0,0.0
4.530326843261719,5.0,4.0,6.831496715545654,120.0,0.7679991722106934,-117.0,0.7296963930130005,7.0,2.0,0,0.0
4.491646766662598,4.0,5.0,7.298036098480225,140.0,0.7296963930130005,-189.0,0.6902980804443359,7.0,2.0,0,0.0
4.419053554534912,4.0,4.0,7.689009666442871,146.0,0.6902980804443359,-123.0,0.6508997678756714,7.0,2.0,0,0.0
4.655933380126953,5.0,5.0,8.200301170349121,229.0,0.6508997678756714,-251.0,0.6125969886779785,7.0,2.0,0,0.0
4.525599956512451,5.0,5.0,13.673961639404297,313.0,0.6125969886779785,-595.0,0.5732986927032471,7.0,2.0,0,0.0
4.489566802978516,4.0,4.0,5.666888236999512,108.0,0.5732986927032471,-63.0,0.5349959135055542,7.0,2.0,0,0.0
4.397659778594971,4.0,4.0,5.305939674377441,84.0,0.5349959135055542,-86.0,0.49559760093688965,7.0,2.0,0,0.0
4.519193172454834,5.0,5.0,6.622989654541016,115.0,0.49559760093688965,-102.0,0.4561993181705475,7.0,2.0,0,0.0
4.699046611785889,5.0,5.0,6.41998291015625,131.0,0.4561993181705475,-106.0,0.4178965091705322,7.0,2.0,0,0.0
4.392853260040283,4.0,5.0,5.813160419464111,118.0,0.4178965091705322,-104.0,0.37849822640419006,7.0,2.0,0,0.0
4.616466522216797,5.0,4.0,6.747738361358643,194.0,0.37849822640419006,-172.0,0.3391999304294586,7.0,2.0,0,0.0
4.4631667137146,4.0,4.0,137.48826599121094,3252.0,0.3391999304294586,-4621.0,0.30089712142944336,8.0,1.0,0,0.0
4.374333381652832,4.0,4.0,8.985535621643066,159.0,0.30089712142944336,-142.0,0.2614988386631012,8.0,1.0,0,0.0
4.34385347366333,4.0,4.0,7.1880035400390625,220.0,0.2614988386631012,-247.0,0.22319604456424713,7.0,2.0,0,0.0
4.322780132293701,4.0,4.0,3.8031721115112305,60.0,0.22319604456424713,-55.0,0.18379774689674377,6.0,2.0,0,0.0
4.424019813537598,4.0,4.0,3.1685941219329834,54.0,0.18379774689674377,-38.0,0.14449945092201233,6.0,2.0,0,0.0
4.325586795806885,4.0,4.0,3.6866230964660645,72.0,0.14449945092201233,-57.0,0.10619665682315826,6.0,2.0,0,0.0
4.239406585693359,4.0,4.0,3.2144737243652344,49.0,0.10619665682315826,-32.0,0.0667983666062355,6.0,2.0,0,0.0
4.409253120422363,4.0,4.0,3.0451009273529053,38.0,0.0667983666062355,-37.0,0.028495565056800842,6.0,3.0,0,0.0
4.353913307189941,4.0,4.0,3.7927231788635254,119.0,11.540800094604492,-87.0,0.0007954798056744039,6.0,2.0,0,0.0
4.242466449737549,4.0,4.0,4.683411121368408,152.0,11.530097007751465,-121.0,11.490798950195312,6.0,2.0,1,0.0
4.2985734939575195,4.0,4.0,4.271163463592529,100.0,11.490798950195312,-94.0,11.452496528625488,6.0,2.0,0,0.0
4.306406497955322,4.0,4.0,3.6154189109802246,133.0,11.452496528625488,-113.0,11.413098335266113,6.0,2.0,0,0.0
4.196499824523926,4.0,4.0,3.2653281688690186,56.0,11.413098335266113,-39.0,11.373699188232422,6.0,2.0,0,0.0
4.383973121643066,4.0,4.0,4.224045276641846,139.0,11.373699188232422,-102.0,11.335396766662598,6.0,2.0,0,0.0
4.346053123474121,4.0,4.0,3.7885236740112305,76.0,11.335396766662598,-67.0,11.295998573303223,6.0,2.0,0,0.0
4.202306747436523,4.0,4.0,3.878887414932251,73.0,11.295998573303223,-83.0,11.257696151733398,6.0,2.0,0,0.0
