,acoustic_data,time_to_failure
227480015,4,4.766
227480016,6,4.766
227480017,4,4.766
227480018,4,4.766
227480019,4,4.766
227480020,4,4.766
227480021,7,4.766
227480022,7,4.766
227480023,6,4.766
227480024,0,4.766
227480025,1,4.766
227480026,1,4.766
227480027,5,4.766
227480028,6,4.766
227480029,4,4.766
227480030,2,4.766
227480031,5,4.766
227480032,8,4.766
227480033,6,4.766
227480034,7,4.766
227480035,9,4.766
227480036,11,4.766
227480037,4,4.766
227480038,5,4.766
227480039,5,4.766
227480040,6,4.766
227480041,7,4.766
227480042,2,4.766
227480043,0,4.766
227480044,3,4.766
227480045,5,4.766
227480046,1,4.766
227480047,5,4.766
227480048,6,4.766
227480049,3,4.766
227480050,3,4.766
227480051,3,4.766
227480052,11,4.766
227480053,10,4.766
227480054,9,4.766
227480055,9,4.766
227480056,7,4.766
227480057,-1,4.766
227480058,-3,4.766
227480059,3,4.766
227480060,4,4.766
227480061,5,4.766
227480062,3,4.766
227480063,6,4.766
227480064,7,4.766
227480065,4,4.766
227480066,1,4.766
227480067,7,4.766
227480068,12,4.766
227480069,7,4.766
227480070,4,4.766
227480071,5,4.766
227480072,4,4.766
227480073,1,4.766
227480074,2,4.766
227480075,3,4.766
227480076,5,4.766
227480077,2,4.766
227480078,3,4.766
227480079,4,4.766
227480080,3,4.766
227480081,5,4.766
227480082,3,4.766
227480083,2,4.766
227480084,5,4.766
227480085,0,4.766
227480086,5,4.766
227480087,7,4.766
227480088,4,4.766
227480089,3,4.766
227480090,8,4.766
227480091,7,4.766
227480092,4,4.766
227480093,7,4.766
227480094,1,4.766
227480095,9,4.766
227480096,8,4.766
227480097,4,4.766
227480098,4,4.766
227480099,1,4.766
227480100,5,4.766
227480101,3,4.766
227480102,2,4.766
227480103,5,4.766
227480104,4,4.766
227480105,8,4.766
227480106,3,4.766
227480107,7,4.766
227480108,7,4.766
227480109,11,4.766
227480110,5,4.766
227480111,5,4.766
227480112,3,4.766
227480113,7,4.766
227480114,8,4.766
227480115,8,4.766
227480116,6,4.766
227480117,6,4.766
227480118,4,4.766
227480119,8,4.766
227480120,2,4.766
227480121,0,4.766
227480122,2,4.766
227480123,7,4.766
227480124,9,4.766
227480125,9,4.766
227480126,4,4.766
227480127,1,4.766
227480128,3,4.766
227480129,5,4.766
227480130,10,4.766
227480131,5,4.766
227480132,2,4.766
227480133,6,4.766
227480134,8,4.766
227480135,6,4.766
227480136,2,4.766
227480137,2,4.766
227480138,10,4.766
227480139,7,4.766
227480140,4,4.766
227480141,5,4.766
227480142,6,4.766
227480143,4,4.766
227480144,6,4.766
227480145,6,4.766
227480146,2,4.766
227480147,-1,4.766
227480148,2,4.766
227480149,4,4.766
227480150,5,4.766
227480151,-1,4.766
227480152,2,4.766
227480153,5,4.766
227480154,2,4.766
227480155,4,4.766
227480156,1,4.766
227480157,3,4.766
227480158,7,4.766
227480159,7,4.766
227480160,2,4.766
227480161,0,4.766
227480162,6,4.766
227480163,3,4.766
227480164,5,4.766
227480165,9,4.766
227480166,3,4.766
227480167,0,4.766
227480168,3,4.766
227480169,5,4.766
227480170,4,4.766
227480171,3,4.766
227480172,5,4.766
227480173,4,4.766
227480174,4,4.766
227480175,5,4.766
227480176,4,4.766
227480177,4,4.766
227480178,7,4.766
227480179,1,4.766
227480180,8,4.766
227480181,9,4.766
227480182,5,4.766
227480183,5,4.766
227480184,3,4.766
227480185,5,4.766
227480186,2,4.766
227480187,1,4.766
227480188,4,4.766
227480189,5,4.766
227480190,7,4.766
227480191,5,4.766
227480192,5,4.766
227480193,7,4.766
227480194,2,4.766
227480195,1,4.766
227480196,-1,4.766
227480197,4,4.766
227480198,7,4.766
227480199,6,4.766
227480200,1,4.766
227480201,2,4.766
227480202,2,4.766
227480203,3,4.766
227480204,8,4.766
227480205,5,4.766
227480206,1,4.766
227480207,4,4.766
227480208,7,4.766
227480209,8,4.766
227480210,5,4.766
227480211,4,4.766
227480212,1,4.766
227480213,1,4.766
227480214,7,4.766
227480215,4,4.766
227480216,7,4.766
227480217,2,4.766
227480218,1,4.766
227480219,5,4.766
227480220,5,4.766
227480221,9,4.766
227480222,10,4.766
227480223,9,4.766
227480224,10,4.766
227480225,6,4.766
227480226,5,4.766
227480227,4,4.766
227480228,5,4.766
227480229,6,4.766
227480230,4,4.766
227480231,5,4.766
227480232,4,4.766
227480233,3,4.766
227480234,6,4.766
227480235,11,4.766
227480236,4,4.766
227480237,2,4.766
227480238,7,4.766
227480239,2,4.766
227480240,0,4.766
227480241,-1,4.766
227480242,1,4.766
227480243,1,4.766
227480244,0,4.766
227480245,3,4.766
227480246,6,4.766
227480247,3,4.766
227480248,6,4.766
227480249,5,4.766
227480250,1,4.766
227480251,5,4.766
227480252,7,4.766
227480253,3,4.766
227480254,1,4.766
227480255,5,4.766
227480256,7,4.766
227480257,7,4.766
227480258,7,4.766
227480259,13,4.766
227480260,8,4.766
227480261,8,4.766
227480262,7,4.766
227480263,6,4.766
227480264,6,4.766
227480265,8,4.766
227480266,4,4.766
227480267,2,4.766
227480268,3,4.766
227480269,0,4.766
227480270,0,4.766
227480271,7,4.766
227480272,5,4.766
227480273,1,4.766
227480274,6,4.766
227480275,5,4.766
227480276,4,4.766
227480277,4,4.766
227480278,9,4.766
227480279,7,4.766
227480280,9,4.766
227480281,6,4.766
227480282,9,4.766
227480283,4,4.766
227480284,4,4.766
227480285,2,4.766
227480286,1,4.766
227480287,-1,4.766
227480288,2,4.766
227480289,2,4.766
227480290,8,4.766
227480291,5,4.766
227480292,2,4.766
227480293,5,4.766
227480294,4,4.766
227480295,4,4.766
227480296,6,4.766
227480297,5,4.766
227480298,6,4.766
227480299,6,4.766
227480300,7,4.766
227480301,1,4.766
227480302,0,4.766
227480303,8,4.766
227480304,5,4.766
227480305,2,4.766
227480306,4,4.766
227480307,4,4.766
227480308,12,4.766
227480309,4,4.766
227480310,6,4.766
227480311,6,4.766
227480312,3,4.766
227480313,5,4.766
227480314,7,4.766
227480315,4,4.766
227480316,2,4.766
227480317,7,4.766
227480318,6,4.766
227480319,5,4.766
227480320,4,4.766
227480321,7,4.766
227480322,6,4.766
227480323,2,4.766
227480324,6,4.766
227480325,11,4.766
227480326,6,4.766
227480327,6,4.766
227480328,6,4.766
227480329,4,4.766
227480330,6,4.766
227480331,4,4.766
227480332,-3,4.766
227480333,1,4.766
227480334,1,4.766
227480335,-1,4.766
227480336,4,4.766
227480337,9,4.766
227480338,8,4.766
227480339,1,4.766
227480340,6,4.766
227480341,3,4.766
227480342,3,4.766
227480343,5,4.766
227480344,8,4.766
227480345,3,4.766
227480346,5,4.766
227480347,5,4.766
227480348,7,4.766
227480349,5,4.766
227480350,7,4.766
227480351,5,4.766
227480352,1,4.766
227480353,3,4.766
227480354,5,4.766
227480355,3,4.766
227480356,4,4.766
227480357,5,4.766
227480358,9,4.766
227480359,5,4.766
227480360,6,4.766
227480361,7,4.766
227480362,6,4.766
227480363,9,4.766
227480364,8,4.766
227480365,6,4.766
227480366,3,4.766
227480367,0,4.766
227480368,5,4.766
227480369,6,4.766
227480370,0,4.766
227480371,2,4.766
227480372,1,4.766
227480373,-1,4.766
227480374,5,4.766
227480375,8,4.766
227480376,4,4.766
227480377,2,4.766
227480378,2,4.766
227480379,3,4.766
227480380,2,4.766
227480381,6,4.766
227480382,8,4.766
227480383,9,4.766
227480384,8,4.766
227480385,2,4.766
227480386,4,4.766
227480387,3,4.766
227480388,1,4.766
227480389,5,4.766
227480390,4,4.766
227480391,1,4.766
227480392,2,4.766
227480393,7,4.766
227480394,7,4.766
227480395,4,4.766
227480396,7,4.766
227480397,5,4.766
227480398,6,4.766
227480399,6,4.766
227480400,9,4.766
227480401,7,4.766
227480402,4,4.766
227480403,5,4.766
227480404,3,4.766
227480405,4,4.766
227480406,8,4.766
227480407,6,4.766
227480408,9,4.766
227480409,5,4.766
227480410,6,4.766
227480411,8,4.766
227480412,7,4.766
227480413,8,4.766
227480414,7,4.766
227480415,2,4.766
227480416,2,4.766
227480417,2,4.766
227480418,3,4.766
227480419,4,4.766
227480420,2,4.766
227480421,6,4.766
227480422,5,4.766
227480423,4,4.766
227480424,3,4.766
227480425,1,4.766
227480426,4,4.766
227480427,7,4.766
227480428,6,4.766
227480429,4,4.766
227480430,7,4.766
227480431,3,4.766
227480432,3,4.766
227480433,9,4.766
227480434,12,4.766
227480435,2,4.766
227480436,1,4.766
227480437,5,4.766
227480438,4,4.766
227480439,2,4.766
227480440,9,4.766
227480441,7,4.766
227480442,1,4.766
227480443,2,4.766
227480444,6,4.766
227480445,5,4.766
227480446,6,4.766
227480447,7,4.766
227480448,3,4.766
227480449,6,4.766
227480450,3,4.766
227480451,3,4.766
227480452,1,4.766
227480453,5,4.766
227480454,7,4.766
227480455,12,4.766
227480456,8,4.766
227480457,4,4.766
227480458,1,4.766
227480459,4,4.766
227480460,4,4.766
227480461,5,4.766
227480462,6,4.766
227480463,5,4.766
227480464,5,4.766
227480465,5,4.766
227480466,6,4.766
227480467,5,4.766
227480468,5,4.766
227480469,5,4.766
227480470,5,4.766
227480471,5,4.766
227480472,8,4.766
227480473,7,4.766
227480474,3,4.766
227480475,7,4.766
227480476,3,4.766
227480477,7,4.766
227480478,4,4.766
227480479,5,4.766
227480480,1,4.766
227480481,0,4.766
227480482,6,4.766
227480483,7,4.766
227480484,4,4.766
227480485,3,4.766
227480486,9,4.766
227480487,4,4.766
227480488,2,4.766
227480489,3,4.766
227480490,4,4.766
227480491,3,4.766
227480492,3,4.766
227480493,0,4.766
227480494,7,4.766
227480495,8,4.766
227480496,7,4.766
227480497,6,4.766
227480498,8,4.766
227480499,6,4.766
227480500,5,4.766
227480501,4,4.766
227480502,7,4.766
227480503,9,4.766
227480504,4,4.766
227480505,7,4.766
227480506,6,4.766
227480507,4,4.766
227480508,5,4.766
227480509,5,4.766
227480510,3,4.766
227480511,5,4.766
227480512,4,4.766
227480513,4,4.766
227480514,5,4.766
227480515,6,4.766
227480516,8,4.766
227480517,6,4.766
227480518,6,4.766
227480519,3,4.766
227480520,2,4.766
227480521,5,4.766
227480522,9,4.766
227480523,7,4.766
227480524,6,4.766
227480525,5,4.766
227480526,0,4.766
227480527,-2,4.766
227480528,1,4.766
227480529,2,4.766
227480530,4,4.766
227480531,8,4.766
227480532,9,4.766
227480533,3,4.766
227480534,2,4.766
227480535,5,4.766
227480536,6,4.766
227480537,2,4.766
227480538,5,4.766
227480539,6,4.766
227480540,3,4.766
227480541,1,4.766
227480542,7,4.766
227480543,8,4.766
227480544,6,4.766
227480545,7,4.766
227480546,5,4.766
227480547,5,4.766
227480548,6,4.766
227480549,5,4.766
227480550,0,4.766
227480551,2,4.766
227480552,6,4.766
227480553,8,4.766
227480554,5,4.766
227480555,6,4.766
227480556,7,4.766
227480557,5,4.766
227480558,3,4.766
227480559,3,4.766
227480560,3,4.766
227480561,5,4.766
227480562,5,4.766
227480563,8,4.766
227480564,7,4.766
227480565,7,4.766
227480566,3,4.766
227480567,6,4.766
227480568,5,4.766
